Category,Asset,Criticality,Maintenance Mode,Typical Service Frequency,Typical Replacement Cycle,Compliance,Primary KPIs,Energy Consumption (kWh/day),Peak Demand (kW),Energy Efficiency Rating,Trend (Last 30 Days)
Forecourt,Fuel pumps / dispensers,T1,Preventive + Condition-based,Quarterly PM; annual calibration,10–12 yrs,Metrology calibration; ATEX/IECEx,"Uptime %, Flow rate, Calibration drift",12.5,4.2,B,+5%
Forecourt,Underground storage tanks (USTs),T1,Preventive + Compliance,Monthly checks; annual integrity test,25–30 yrs (liner dependent),"Leak detection, cathodic protection, environmental permits","Leak incidents, CP potential, Compliance pass rate",2.4,0.8,A,+2%
Forecourt,"Fuel lines, valves & piping",T1,Preventive + Condition-based,Semi-annual inspection/pressure test,15–20 yrs,Pressure tests; spill prevention,"Leak rate, MTBF",0.5,0.2,A,0%
Forecourt,Forecourt controller,T1,Preventive + Reactive,Quarterly firmware & health check,6–8 yrs,Electrical safety,"Transaction uptime, Controller faults",1.8,0.6,B,+1%
Forecourt,Outdoor payment terminals (OPT),T1,Preventive + Reactive,Quarterly inspection; monthly patches,5–7 yrs,PCI DSS,"Payment uptime, Decline/timeout rate",3.2,1.1,B,-3%
Forecourt,Vapour recovery systems,T1,Preventive + Compliance,Quarterly inspection; annual certification,10–12 yrs,Emissions standards,"Recovery efficiency, Compliance pass",8.6,3.5,C,+8%
Forecourt,Canopies,T2,Preventive,Annual structural inspection,20–25 yrs,Wind/snow load compliance,Defect closure time,0,0,N/A,0%
Forecourt,Canopy lighting,T2,Preventive,Semi-annual,12–15 yrs (LED drivers 7–10),Electrical safety,"Lux levels, Energy/kWh",18.4,7.2,A,-12%
Forecourt,Air & water machines,T3,Preventive + Reactive,Quarterly,8–10 yrs,Electrical & water regulations,"Availability, Vend success",6.8,2.5,C,+4%
Forecourt,Price totem / price display,T2,Preventive + Reactive,Quarterly visual; annual electrical,10–12 yrs,Electrical safety,Display uptime,4.8,1.8,B,+2%
Forecourt,EV chargers (AC/DC),T1,Condition-based + Predictive,24×7 remote monitoring; quarterly field,8–10 yrs (power modules 5–7),OCPP/Grid interconnect; electrical safety,"Uptime %, MTTR, Session success",156.5,50.0,B,+18%
Forecourt,Hydrogen dispensers (where applicable),T1,Preventive + Compliance,Quarterly; annual certification,10–12 yrs,Pressure/gas safety,"Uptime %, Safety incidents",24.5,8.5,C,+6%
Car Wash,Automatic car wash,T2,Preventive + Condition-based,Monthly consumables; quarterly mechanical,10–12 yrs,Water discharge permits,"Throughput, Downtime",85.2,28.5,C,+15%
Car Wash,Jet/pressure wash systems,T2,Preventive,Quarterly,8–10 yrs,Electrical & water regulations,Availability,15.4,5.8,B,+3%
Car Wash,Water recycling systems,T2,Preventive + Compliance,Monthly water quality checks,10–12 yrs,Water quality/effluent standards,"Reuse %, Water quality score",12.8,4.2,A,-8%
Store Equipment,Coffee machines,T2,Preventive + Consumables,Monthly descaling; quarterly service,5–7 yrs,Food safety; water quality,"Availability, Temperature/taste variance",22.4,7.5,B,+4%
Store Equipment,Beverage dispensers,T2,Preventive,Quarterly,5–7 yrs,Food safety,Dispense accuracy,8.6,3.2,B,+1%
Store Equipment,Ovens / bakery equipment,T2,Preventive + Compliance,Quarterly cleaning & safety,7–10 yrs,Electrical & food safety,"Temperature accuracy, Energy use",45.8,15.2,C,+12%
Store Equipment,Microwaves,T3,Reactive + Light preventive,Semi-annual checks,5–7 yrs,Electrical safety,Availability,8.4,3.0,B,-2%
Store Equipment,Hot food cabinets,T2,Preventive,Quarterly,6–8 yrs,Food safety,Holding temp compliance,18.5,6.2,B,+3%
